Link,Titulo,Precio,Ubicacion,Ventas 60 dias,Reviews,Rating,Comentarios
https://articulo.mercadolibre.com.co/MCO-909750641-asus-vivobook-intel-core-i5-10-ma-gen-256-gb-ssd-8-gb-ram-_JM#position=18&search_layout=stack&type=item&tracking_id=e653ac57-6e40-4dd6-9c16-a8753b2bfccd,"Asus Vivobook, Intel Core I5 10 Ma Gen, 256 Gb Ssd, 8 Gb Ram",1.549.900,"Bucaramanga, Santander.",+100,,,[]
https://articulo.mercadolibre.com.co/MCO-1283644436-portatil-asus-x441n-ssd-128-gb-4-ram-blanc-100-funciona-_JM#position=19&search_layout=stack&type=item&tracking_id=e653ac57-6e40-4dd6-9c16-a8753b2bfccd,Portatil Asus X441n + Ssd 128 Gb + 4 Ram Blanc 100% Funciona,430.000,"Soacha, Cundinamarca.",+100,,,[]
https://articulo.mercadolibre.com.co/MCO-537301653-lenovo-b50-45-59441913-156-pulgadas-portatil-negro-amd-_JM#position=20&search_layout=stack&type=item&tracking_id=e653ac57-6e40-4dd6-9c16-a8753b2bfccd,"Lenovo B50-45 59.441.913 15,6 Pulgadas Portátil (negro) Amd ",3.046.000,"Suba, Bogotá D.C..",+500,,,[]
https://articulo.mercadolibre.com.co/MCO-560285397-acer-cp311-1h-c5pn-chromebook-spin-11-portatil-_JM#position=21&search_layout=stack&type=item&tracking_id=e653ac57-6e40-4dd6-9c16-a8753b2bfccd,Acer Cp311-1h-c5pn Chromebook Spin 11 - Portátil,1.332.900,"Engativá, Bogotá D.C..",+1000,,,[]
https://articulo.mercadolibre.com.co/MCO-637450783-portatil-gamer-dell-g5-15-core-i5-10-gtx-1650-ti-8gb-256gb-_JM#position=22&search_layout=stack&type=item&tracking_id=e653ac57-6e40-4dd6-9c16-a8753b2bfccd,Portátil Gamer Dell G5 15 Core I5-10 Gtx 1650 Ti 8gb 256gb,5.460.900,"Cali, Valle Del Cauca.",+100,,,[]
https://articulo.mercadolibre.com.co/MCO-908332022-portatil-asus-intel-core-i3-ssd-256gb-ram-8gb-con-huella-_JM#position=23&search_layout=stack&type=item&tracking_id=e653ac57-6e40-4dd6-9c16-a8753b2bfccd,Portatil Asus Intel Core I3 Ssd 256gb Ram 8gb Con Huella,1.609.900,"Bucaramanga, Santander.",+500,,,[]
https://articulo.mercadolibre.com.co/MCO-923364703-laptop-acer-a515-ryzen-3-5300u-4gb-1tb-156-windows-10-_JM#position=24&search_layout=stack&type=item&tracking_id=e653ac57-6e40-4dd6-9c16-a8753b2bfccd,"Laptop  Acer A515-ryzen 3 5300u 4gb 1tb 15,6 Windows 10",1.799.000,"Chapinero, Bogotá D.C..",+100,,,[]
https://articulo.mercadolibre.com.co/MCO-1091477232-laptop-lenovo-legion-5-core-i7-11th-32gb-rtx3050ti-1tb-win11-_JM#position=25&search_layout=stack&type=item&tracking_id=e653ac57-6e40-4dd6-9c16-a8753b2bfccd,Laptop Lenovo Legion 5 Core I7 11th 32gb Rtx3050ti 1tb Win11,6.649.900,"Bucaramanga, Santander.",+100,,,[]
https://articulo.mercadolibre.com.co/MCO-1131157220-portatil-coin-lum-310-i3-10110u-4gb-ram-256gb-ssd-14-_JM#position=26&search_layout=stack&type=item&tracking_id=e653ac57-6e40-4dd6-9c16-a8753b2bfccd,Portatil Coin Lum 310 - I3 10110u 4gb Ram - 256gb Ssd 14 ,1.149.000,"Kennedy, Bogotá D.C..",+5,,,[]
https://www.mercadolibre.com.co/portatil-toshiba-dynabook-celeron-4gb-128gb-ssd-w10-fhd-133/p/MCO20539459?pdp_filters=category:MCO1652#searchVariation=MCO20539459&position=1&search_layout=stack&type=product&tracking_id=e653ac57-6e40-4dd6-9c16-a8753b2bfccd,Portátil Toshiba Dynabook Celeron 4gb 128gb Ssd W10 Fhd 13.3,1.189.900,"Chapinero, Bogotá D.C..",+100,,,[]
https://articulo.mercadolibre.com.co/MCO-1415161814-laptop-hp-amd-ryzen-3-5300u-8gb-256gb-14-fq1051la-portatil-_JM#position=27&search_layout=stack&type=item&tracking_id=e653ac57-6e40-4dd6-9c16-a8753b2bfccd,Laptop Hp Amd Ryzen 3 5300u 8gb 256gb 14-fq1051la Portatil,1.450.000,"Cali, Valle Del Cauca.",+1000,,,[]
https://articulo.mercadolibre.com.co/MCO-501880992-portatil-thinkpad-p50-ram-16gb-ddr4-ssd-750gb-nvidia-m2000-4-_JM#position=28&search_layout=stack&type=item&tracking_id=e653ac57-6e40-4dd6-9c16-a8753b2bfccd,Portatil Thinkpad P50 Ram 16gb Ddr4 Ssd 750gb Nvidia M2000 4 (Reacondicionado),5.487.700,"Medellín, Antioquia.",+500,,,[]
https://articulo.mercadolibre.com.co/MCO-532754869-computadora-portatil-lenovo-y40-59423034-negro-4ta-gen-_JM#position=29&search_layout=stack&type=item&tracking_id=e653ac57-6e40-4dd6-9c16-a8753b2bfccd,Computadora Portátil Lenovo Y40 - 59423034 - Negro - 4ta Gen,3.824.000,"Suba, Bogotá D.C..",+500,,,[]
https://articulo.mercadolibre.com.co/MCO-610607296-apple-macbook-air-2020-13-m1-7-core-8gb-512gb-_JM#position=30&search_layout=stack&type=item&tracking_id=e653ac57-6e40-4dd6-9c16-a8753b2bfccd,Apple Macbook Air 2020 13 M1 7-core 8gb 512gb,9.399.000,"Kennedy, Bogotá D.C..",+500,,,[]
https://articulo.mercadolibre.com.co/MCO-922653420-laptop-asus-x543ua-gq2087-ci3-7020u-4gb-1tb-windows-10-_JM#position=31&search_layout=stack&type=item&tracking_id=e653ac57-6e40-4dd6-9c16-a8753b2bfccd,Laptop  Asus X543ua-gq2087 Ci3 7020u 4gb 1tb Windows 10,1.550.000,"Chapinero, Bogotá D.C..",+100,,,[]
https://articulo.mercadolibre.com.co/MCO-1195681555-computador-portatil-lenovo-ryzen-7-24gb-512gb-ssd-_JM#position=32&search_layout=stack&type=item&tracking_id=e653ac57-6e40-4dd6-9c16-a8753b2bfccd,Computador Portatil Lenovo Ryzen 7 24gb 512gb Ssd ,3.099.900,"Bucaramanga, Santander.",+500,,,[]
https://articulo.mercadolibre.com.co/MCO-1208577493-portatil-gamer-alienware-m15-r5-ryzen-7-rtx-3060-165hz-_JM#position=33&search_layout=stack&type=item&tracking_id=e653ac57-6e40-4dd6-9c16-a8753b2bfccd,Portátil Gamer Alienware M15 R5 - Ryzen 7 - Rtx 3060 - 165hz (Reacondicionado),6.500.000,"Envigado, Antioquia.",,,,[]
https://articulo.mercadolibre.com.co/MCO-1075765846-portatil-hp-compaq-510-core2-duo-ram-4gb-disco-320gb-_JM#position=34&search_layout=stack&type=item&tracking_id=e653ac57-6e40-4dd6-9c16-a8753b2bfccd,Portátil Hp Compaq 510 Core2 Duo Ram 4gb Disco 320gb,250.000,"Medellín, Antioquia.",+25,,,[]
https://www.mercadolibre.com.co/laptop-lenovo-thinkpad-e14-gen-3-amd-black-14-amd-ryzen-5-5700u-16gb-de-ram-512gb-ssd-amd-radeon-rx-vega-8-ryzen-40005000-1920x1080px-windows-10-pro/p/MCO21736853?pdp_filters=category:MCO1652#searchVariation=MCO21736853&position=2&search_layout=stack&type=product&tracking_id=e653ac57-6e40-4dd6-9c16-a8753b2bfccd,"Laptop Lenovo ThinkPad E14 Gen 3 (AMD) black 14"", AMD Ryzen 5 5700U  16GB de RAM 512GB SSD, AMD Radeon RX Vega 8 (Ryzen 4000/5000) 1920x1080px Windows 10 Pro",3.999.999,"Rafael Uribe Uribe, Bogotá D.C..",+100,,,[]
